Theta,Growth,samplingSize,n.haplotypes,n.seg.sites
two,no,64,7,8
two,no,64,7,8
two,no,64,8,9
two,no,64,6,7
two,no,64,4,6
two,no,64,8,9
two,no,64,7,8
two,no,64,6,8
two,no,64,6,8
two,no,64,8,9
two,no,64,6,7
two,no,64,7,8
two,no,64,6,7
two,no,64,7,8
two,no,64,4,4
two,no,64,5,5
two,no,64,9,10
two,no,64,7,9
two,no,64,6,7
two,no,64,6,8
two,no,128,7,8
two,no,128,4,5
two,no,128,8,10
two,no,128,11,12
two,no,128,9,10
two,no,128,10,11
two,no,128,9,10
two,no,128,8,10
two,no,128,10,11
two,no,128,10,11
two,no,128,7,8
two,no,128,6,6
two,no,128,10,11
two,no,128,9,10
two,no,128,9,10
two,no,128,9,10
two,no,128,10,11
two,no,128,10,11
two,no,128,10,11
two,no,128,9,11
two,no,128,10,11
two,no,128,9,11
two,no,128,8,9
two,no,128,7,9
two,no,128,9,10
two,no,128,11,12
two,no,128,8,9
two,no,128,9,10
two,no,128,8,9
two,no,128,7,8
two,no,128,8,9
two,no,128,8,9
two,no,128,8,9
two,no,128,11,12
two,no,128,9,10
two,no,128,9,10
two,no,128,9,10
two,no,128,9,10
two,no,128,9,10
two,no,128,10,11
two,no,128,9,10
two,no,128,9,9
two,no,128,8,9
two,no,128,8,9
two,no,128,9,10
two,no,128,9,10
two,no,128,8,9
two,no,128,8,9
two,no,128,9,10
two,no,128,8,9
two,no,128,10,10
two,no,128,7,9
two,no,128,7,8
two,no,128,9,10
two,no,128,7,8
two,no,128,10,11
two,no,128,10,11
two,no,128,5,7
two,no,128,8,9
two,no,128,8,9
two,no,128,9,10
two,no,128,10,11
two,no,128,9,10
two,no,128,8,9
two,no,128,9,10
two,no,128,9,10
two,no,128,10,11
two,no,128,9,10
two,no,128,8,10
two,no,128,9,10
two,no,128,10,11
two,no,128,8,9
two,no,128,10,11
two,no,128,8,9
two,no,128,7,8
two,no,128,8,10
two,no,128,8,10
two,no,128,10,11
two,no,128,7,8
two,no,128,8,9
two,no,128,6,7
two,no,128,9,10
two,no,128,8,9
two,no,128,8,9
two,no,128,7,8
two,no,128,8,9
two,no,128,9,10
two,no,128,8,9
two,no,128,8,9
two,no,128,8,9
two,no,128,8,9
two,no,128,7,8
two,no,128,9,10
two,no,128,8,10
two,no,128,6,7
two,no,128,11,12
two,no,128,9,10
two,no,128,6,8
two,no,128,9,10
two,no,128,9,10
ten,no,2,2,17
ten,no,2,2,16
ten,no,2,2,12
ten,no,2,2,17
ten,no,2,2,14
ten,no,2,2,18
ten,no,2,2,16
ten,no,2,2,2
ten,no,2,2,1
ten,no,2,1,0
ten,no,2,2,17
ten,no,2,2,15
ten,no,2,2,16
ten,no,2,2,3
ten,no,2,2,13
ten,no,2,2,18
ten,no,2,2,17
ten,no,2,2,15
ten,no,2,2,15
ten,no,2,2,6
ten,no,2,2,17
ten,no,2,2,17
ten,no,2,2,17
ten,no,2,2,16
ten,no,2,2,16
ten,no,2,2,2
ten,no,2,1,0
ten,no,2,2,1
ten,no,2,2,2
ten,no,2,2,17
ten,no,2,2,2
ten,no,2,2,1
ten,no,2,2,5
ten,no,2,1,0
ten,no,2,2,17
ten,no,2,2,16
ten,no,2,2,17
ten,no,2,1,0
ten,no,2,2,14
ten,no,2,1,0
ten,no,2,2,2
ten,no,2,2,4
ten,no,2,2,17
ten,no,2,2,14
ten,no,2,2,1
ten,no,2,2,3
ten,no,2,2,2
ten,no,2,2,18
ten,no,2,2,20
ten,no,2,2,18
ten,no,2,1,0
ten,no,2,1,0
ten,no,2,2,18
ten,no,2,2,3
ten,no,2,2,14
ten,no,2,2,10
ten,no,2,2,4
ten,no,2,2,1
ten,no,2,2,17
ten,no,2,2,11
ten,no,2,2,15
ten,no,2,2,2
ten,no,2,2,12
ten,no,2,2,16
ten,no,2,2,13
ten,no,2,1,0
ten,no,2,1,0
ten,no,2,2,2
ten,no,2,2,3
ten,no,2,2,1
ten,no,2,2,3
ten,no,2,2,2
ten,no,2,2,17
ten,no,2,2,16
ten,no,2,2,16
ten,no,2,2,13
ten,no,2,2,3
ten,no,2,2,16
ten,no,2,2,18
ten,no,2,2,16
ten,no,2,2,18
ten,no,2,2,11
ten,no,2,2,17
ten,no,2,1,0
ten,no,2,1,0
ten,no,2,2,16
ten,no,2,2,16
ten,no,2,2,3
ten,no,2,2,17
ten,no,2,2,2
ten,no,2,2,12
ten,no,2,2,1
ten,no,2,2,16
ten,no,2,2,12
ten,no,2,2,1
ten,no,2,2,1
ten,no,2,2,13
ten,no,2,2,13
ten,no,2,2,15
ten,no,2,2,11
ten,no,4,4,17
ten,no,4,3,12
ten,no,4,4,25
ten,no,4,4,25
ten,no,4,4,22
ten,no,4,4,25
ten,no,4,4,20
ten,no,4,3,24
ten,no,4,3,20
ten,no,4,2,18
ten,no,4,3,20
ten,no,4,4,18
ten,no,4,4,19
ten,no,4,4,25
ten,no,4,4,19
ten,no,4,3,6
ten,no,4,2,17
ten,no,4,3,21
ten,no,4,3,17
ten,no,4,4,18
ten,no,4,4,26
ten,no,4,3,17
ten,no,4,4,19
ten,no,4,4,22
ten,no,4,4,23
ten,no,4,2,1
ten,no,4,1,0
ten,no,4,3,19
ten,no,4,4,26
ten,no,4,4,25
ten,no,4,4,16
ten,no,4,3,12
ten,no,4,4,21
ten,no,4,4,19
ten,no,4,4,18
ten,no,4,4,21
