n,expHap.t2,varHap.t2,expHap.t10,varHap.t10,expHap.t20,varHap.t20
71,7.721620307,6.197055579,21.36511025,13.09069673,30.69661891,15.60813427
72,7.749017567,6.223702229,21.48856704,13.19891194,30.91639913,15.77961115
73,7.776044594,6.249998796,21.61051826,13.30599106,31.13379044,15.94974347
74,7.802711261,6.275954352,21.73100019,13.4119571,31.3488442,16.11854912
75,7.829027051,6.30157762,21.85004781,13.51683238,31.56161016,16.28604572
76,7.855001077,6.326876996,21.96769486,13.62063861,31.77213647,16.45225071
77,7.880642102,6.35186056,22.08397393,13.72339686,31.98046981,16.61718126
78,7.905958558,6.376536093,22.19891646,13.8251276,32.18665538,16.78085434
79,7.930958558,6.400911093,22.31255283,13.92585074,32.39073701,16.94328666
80,7.955649916,6.424992787,22.42491238,14.02558562,32.59275721,17.1044947
81,7.98004016,6.448788147,22.53602349,14.12435105,32.79275721,17.2644947
82,8.004136545,6.472303897,22.6459136,14.22216533,32.99077701,17.42330266
83,8.027946069,6.495546527,22.75460925,14.31904624,33.18685544,17.58093434
84,8.051475481,6.518522306,22.86213613,14.41501109,33.3810302,17.73740526
85,8.074731295,6.541237287,22.96851911,14.51007673,33.57333789,17.89273071
86,8.097719801,6.563697321,23.07378227,14.60425955,33.76381408,18.04692572
87,8.120447073,6.585908065,23.17794894,14.69757552,33.95249333,18.20000511
88,8.142918983,6.607874989,23.28104172,14.79004019,34.13940922,18.35198344
89,8.165141206,6.629603384,23.38308254,14.88166867,34.3245944,18.50287508
90,8.187119228,6.651098372,23.48409264,14.97247573,34.50808064,18.65269411
91,8.208858358,6.672364913,23.58409264,15.06247573,34.68989882,18.80145445
92,8.230363734,6.693407808,23.68310254,15.15168268,34.870079,18.94916973
93,8.25164033,6.71423171,23.78114175,15.2401102,35.04865043,19.0958534
94,8.272692962,6.734841128,23.87822913,15.32777162,35.22564158,19.24151868
95,8.293526295,6.755240434,23.97438298,15.41467991,35.40108018,19.38617858
96,8.314144852,6.775433866,24.06962107,15.50084771,35.57499322,19.52984588
97,8.334553015,6.795425536,24.1639607,15.58628737,35.74740701,19.67253315
98,8.354755035,6.815219435,24.25741864,15.67101092,35.91834719,19.81425278
99,8.374755035,6.834819435,24.35001123,15.75503013,36.08783871,19.95501693
100,8.394557015,6.854229296,24.44175435,15.83835645,36.25590594,20.09483757
101,8.414164859,6.873452672,24.53266344,15.92100107,36.4225726,20.23372645
102,8.433582334,6.892493109,24.62275353,16.00297494,36.58786186,20.37169517
103,8.452813104,6.911354056,24.71203925,16.08428872,36.75179629,20.5087551
