Theta,n,segSites,prob
twenty,19,3,1.17E-08
twenty,20,3,6.38E-09
twenty,21,3,3.54E-09
twenty,22,3,2.00E-09
twenty,23,3,1.14E-09
twenty,24,3,6.75E-10
twenty,25,3,3.65E-10
twenty,26,3,2.19E-10
twenty,27,3,2.01E-11
twenty,28,3,-1.99E-10
twenty,29,3,7.29E-11
twenty,30,3,-3.69E-09
twenty,31,3,-2.66E-09
twenty,32,3,-3.15E-09
twenty,33,3,-2.72E-08
two,1,4,0
two,2,4,0.065843621
two,3,4,0.100437243
two,4,4,0.119140864
two,5,4,0.129084033
two,6,4,0.133925765
two,7,4,0.13568478
two,8,4,0.135536774
two,9,4,0.134195474
two,10,4,0.13210831
two,11,4,0.129562829
two,12,4,0.126747331
two,13,4,0.123786799
two,14,4,0.120764881
two,15,4,0.117737735
two,16,4,0.114742945
two,17,4,0.111805388
two,18,4,0.108941165
two,19,4,0.106160273
two,20,4,0.103468443
two,21,4,0.100868425
two,22,4,0.098360889
two,23,4,0.095945062
two,24,4,0.093619187
two,25,4,0.091380848
two,26,4,0.089227207
two,27,4,0.087155167
two,28,4,0.085161498
two,29,4,0.083242924
two,30,4,0.081396179
two,31,4,0.079618053
two,32,4,0.077905424
two,33,4,0.07625527
ten,1,4,0
ten,2,4,0.062092132
ten,3,4,0.04380875
ten,4,4,0.025948576
ten,5,4,0.014936559
ten,6,4,0.008667498
ten,7,4,0.005129201
ten,8,4,0.003105931
ten,9,4,0.001925149
ten,10,4,0.001220351
ten,11,4,0.000790083
ten,12,4,0.000521664
ten,13,4,0.00035076
ten,14,4,0.000239847
ten,15,4,0.000166578
ten,16,4,0.000117369
ten,17,4,8.38E-05
ten,18,4,6.06E-05
ten,19,4,4.43E-05
ten,20,4,3.28E-05
ten,21,4,2.45E-05
ten,22,4,1.84E-05
ten,23,4,1.40E-05
ten,24,4,1.08E-05
ten,25,4,8.31E-06
ten,26,4,6.47E-06
ten,27,4,5.07E-06
ten,28,4,4.00E-06
ten,29,4,3.18E-06
ten,30,4,2.54E-06
ten,31,4,2.04E-06
ten,32,4,1.65E-06
ten,33,4,1.34E-06
twenty,1,4,0
twenty,2,4,0.039176308
twenty,3,4,0.016260484
twenty,4,4,0.005829038
twenty,5,4,0.002082966
twenty,6,4,0.000767749
twenty,7,4,0.000294633
twenty,8,4,0.000117906
twenty,9,4,4.91E-05
twenty,10,4,2.13E-05
twenty,11,4,9.55E-06
twenty,12,4,4.43E-06
twenty,13,4,2.12E-06
twenty,14,4,1.04E-06
twenty,15,4,5.27E-07
twenty,16,4,2.73E-07
twenty,17,4,1.45E-07
twenty,18,4,7.84E-08
twenty,19,4,4.33E-08
twenty,20,4,2.44E-08
twenty,21,4,1.40E-08
twenty,22,4,8.13E-09
twenty,23,4,4.81E-09
twenty,24,4,2.90E-09
twenty,25,4,1.76E-09
twenty,26,4,1.12E-09
twenty,27,4,6.67E-10
twenty,28,4,1.66E-10
twenty,29,4,-4.71E-11
twenty,30,4,-1.41E-09
twenty,31,4,-2.08E-09
twenty,32,4,-5.32E-09
twenty,33,4,-1.48E-08
two,1,5,0
two,2,5,0.043895748
two,3,5,0.072166495
two,4,5,0.090956243
two,5,5,0.103665506
two,6,5,0.112311294
two,7,5,0.118154666
two,8,5,0.122017356
two,9,5,0.12445298
two,10,5,0.125844858
two,11,5,0.12646452
two,12,5,0.126508029
two,13,5,0.126119282
two,14,5,0.125405362
two,15,5,0.124446909
two,16,5,0.123305266
two,17,5,0.122027502
two,18,5,0.120649992
two,19,5,0.11920102
two,20,5,0.11770268
two,21,5,0.116172293
two,22,5,0.114623475
two,23,5,0.113066941
two,24,5,0.11151112
two,25,5,0.109962638
two,26,5,0.10842668
two,27,5,0.106907286
two,28,5,0.105407577
two,29,5,0.103929933
two,30,5,0.102476143
two,31,5,0.101047512
two,32,5,0.099644961
two,33,5,0.098269097
ten,1,5,0
ten,2,5,0.056447393
ten,3,5,0.045915191
ten,4,5,0.030556256
ten,5,5,0.01939933
ten,6,5,0.012244775
ten,7,5,0.007797541
ten,8,5,0.005037771
ten,9,5,0.003308536
ten,10,5,0.002209491
ten,11,5,0.001499787
ten,12,5,0.001034014
ten,13,5,0.000723444
ten,14,5,0.000513184
ten,15,5,0.000368765
ten,16,5,0.000268207
ten,17,5,0.000197284
ten,18,5,0.000146657
ten,19,5,0.000110106
ten,20,5,8.34E-05
ten,21,5,6.38E-05
ten,22,5,4.92E-05
ten,23,5,3.82E-05
ten,24,5,2.99E-05
ten,25,5,2.35E-05
ten,26,5,1.87E-05
ten,27,5,1.49E-05
ten,28,5,1.19E-05
ten,29,5,9.64E-06
ten,30,5,7.82E-06
ten,31,5,6.37E-06
ten,32,5,5.22E-06
ten,33,5,4.29E-06
twenty,1,5,0
twenty,2,5,0.03731077
twenty,3,5,0.018174147
twenty,4,5,0.00743927
twenty,5,5,0.002975684
twenty,6,5,0.001209336
twenty,7,5,0.000505718
twenty,8,5,0.00021845
twenty,9,5,9.75E-05
twenty,10,5,4.49E-05
twenty,11,5,2.13E-05
twenty,12,5,1.04E-05
twenty,13,5,5.24E-06
twenty,14,5,2.70E-06
twenty,15,5,1.42E-06
twenty,16,5,7.65E-07
twenty,17,5,4.20E-07
twenty,18,5,2.35E-07
twenty,19,5,1.34E-07
twenty,20,5,7.79E-08
twenty,21,5,4.59E-08
twenty,22,5,2.75E-08
twenty,23,5,1.67E-08
twenty,24,5,1.03E-08
twenty,25,5,6.41E-09
twenty,26,5,4.08E-09
twenty,27,5,2.67E-09
twenty,28,5,1.66E-09
twenty,29,5,1.36E-09
twenty,30,5,-3.73E-11
twenty,31,5,-2.14E-10
twenty,32,5,-5.45E-10
twenty,33,5,-7.06E-09
two,1,6,0
two,2,6,0.029263832
two,3,6,0.050715163
two,4,6,0.066811595
two,5,6,0.079096232
two,6,6,0.08858625
two,7,6,0.095978354
two,8,6,0.101764799
two,9,6,0.106302435
two,10,6,0.109855603
two,11,6,0.112623756
two,12,6,0.114759798
two,13,6,0.116382581
two,14,6,0.117585619
two,15,6,0.11844328
two,16,6,0.119015278
two,17,6,0.11934997
two,18,6,0.119486814
two,19,6,0.119458235
two,20,6,0.119291039
two,21,6,0.119007517
two,22,6,0.118626296
two,23,6,0.118163016
two,24,6,0.117630865
two,25,6,0.117041001
two,26,6,0.116402903
two,27,6,0.115724645
two,28,6,0.115013123
two,29,6,0.114274244
two,30,6,0.113513076
two,31,6,0.112733978
two,32,6,0.111940704
two,33,6,0.111136492
ten,1,6,0
ten,2,6,0.051315812
ten,3,6,0.046815294
ten,4,6,0.034308342
ten,5,6,0.023659048
ten,6,6,0.016049533
ten,7,6,0.010892038
ten,8,6,0.007448351
ten,9,6,0.005148454
ten,10,6,0.003601632
ten,11,6,0.002550709
ten,12,6,0.001828473
ten,13,6,0.001326187
ten,14,6,0.000972708
ten,15,6,0.000721065
ten,16,6,0.000539922
ten,17,6,0.000408138
ten,18,6,0.000311293
ten,19,6,0.000239441
ten,20,6,0.000185646
ten,21,6,0.000145023
ten,22,6,0.000114098
ten,23,6,9.04E-05
ten,24,6,7.20E-05
ten,25,6,5.78E-05
ten,26,6,4.66E-05
ten,27,6,3.78E-05
ten,28,6,3.08E-05
ten,29,6,2.52E-05
ten,30,6,2.08E-05
ten,31,6,1.72E-05
ten,32,6,1.43E-05
ten,33,6,1.19E-05
twenty,1,6,0
twenty,2,6,0.035534067
twenty,3,6,0.019752321
twenty,4,6,0.00904532
twenty,5,6,0.00398729
twenty,6,6,0.001764927
twenty,7,6,0.000796305
twenty,8,6,0.000368264
twenty,9,6,0.000174871
twenty,10,6,8.53E-05
twenty,11,6,4.27E-05
twenty,12,6,2.19E-05
twenty,13,6,1.15E-05
twenty,14,6,6.15E-06
twenty,15,6,3.37E-06
twenty,16,6,1.88E-06
twenty,17,6,1.07E-06
twenty,18,6,6.19E-07
twenty,19,6,3.64E-07
twenty,20,6,2.17E-07
twenty,21,6,1.32E-07
twenty,22,6,8.08E-08
twenty,23,6,5.03E-08
twenty,24,6,3.17E-08
twenty,25,6,2.02E-08
twenty,26,6,1.30E-08
twenty,27,6,8.52E-09
twenty,28,6,5.49E-09
twenty,29,6,3.61E-09
twenty,30,6,1.93E-09
twenty,31,6,5.49E-10
twenty,32,6,-1.24E-09
twenty,33,6,-4.10E-09
two,1,7,0
two,2,7,0.019509221
two,3,7,0.035112192
two,4,7,0.047791953
two,5,7,0.058226713
two,6,7,0.066900866
two,7,7,0.074170238
two,8,7,0.080302363
two,9,7,0.085502377
two,10,7,0.089930237
two,11,7,0.09371249
two,12,7,0.096950537
two,13,7,0.099726543
two,14,7,0.102107754
two,15,7,0.104149694
two,16,7,0.105898587
two,17,7,0.107393185
two,18,7,0.108666198
two,19,7,0.109745402
two,20,7,0.11065451
