"","theta.df","n.df","exp.haplotypes","exp.variance"
"205","ten","77","31.9804698082352","16.6171812623414"
"206","ten","78","32.1866553752455","16.7808543413083"
"207","ten","79","32.3907370078986","16.943286661175"
"208","ten","80","32.5927572099188","17.1044947011709"
"209","ten","81","32.7927572099188","17.2644947011709"
"210","ten","82","32.990777011899","17.4233026611749"
"211","ten","83","33.1868554432715","17.5809343412979"
"212","ten","84","33.3810302005531","17.7374052622141"
"213","ten","85","33.5733378928608","17.8927307060011"
"214","ten","86","33.763814083337","18.046925717339"
"215","ten","87","33.95249332862","18.2000051050214"
"216","ten","88","34.1394092164704","18.3519834437409"
"217","ten","89","34.3245944016556","18.5028750761141"
"218","ten","90","34.5080806401877","18.6526941149155"
"219","ten","91","34.6898988220059","18.801454445494"
"220","ten","92","34.8700790021861","18.9491697283444"
"221","ten","93","35.0486504307575","19.0958534018138"
"222","ten","94","35.2256415812","19.2415186849213"
"223","ten","95","35.4010801776912","19.3861785802738"
"224","ten","96","35.5749932211695","19.5298458770601"
"225","ten","97","35.7474070142729","19.6725331541113"
"226","ten","98","35.9183471852131","19.8142527830104"
"227","ten","99","36.0878387106368","19.9550169312437"
"228","ten","100","36.2559059375276","20.0948375653797"
"229","ten","101","36.4225726041943","20.2337264542686"
"230","ten","102","36.5878618603926","20.3716951722523"
"231","ten","103","36.7517962866221","20.5087551023786"
"232","ten","104","36.9143979126384","20.6449174396117"
"233","ten","105","37.075688235219","20.7801931940342"
"234","ten","106","37.235688235219","20.9145931940342"
"235","ten","107","37.3944183939492","21.0481280894739"
"236","ten","108","37.5518987089098","21.1808083548344"
"237","ten","109","37.7081487089098","21.3126442923344"
"238","ten","110","37.8631874685997","21.4436460350181"
"239","ten","111","38.0170336224459","21.573823549811"
"240","ten","112","38.1697053781711","21.70318664054"
"241","ten","113","38.3212205296862","21.8317449509165"
"242","ten","114","38.4715964695359","21.9595079674805"
"243","ten","115","38.6208502008791","22.0864850225039"
"244","ten","116","38.7689983490273","22.2126852968523"
"245","ten","117","38.9160571725567","22.3381178228038"
"246","ten","118","39.0620425740166","22.4627914868243"
"247","ten","119","39.2069701102484","22.5867150322979"
"248","ten","120","39.3508550023348","22.7098970622136"
"249","ten","121","39.4937121451919","22.8323460418054"
"250","ten","122","39.6355561168231","22.9540703011485"
"251","ten","123","39.7764011872456","23.0750780377087"
"252","ten","124","39.9162613271058","23.1953773188472"
"253","ten","125","40.0551502159947","23.3149760842793"
"254","ten","126","40.1930812504774","23.4338821484885"
"255","ten","127","40.3300675518473","23.5521032030954"
"256","ten","128","40.466121973616","23.6696468191813"
"257","twenty","1",NA,NA
"258","twenty","2","1.95238095238095","1.0453514739229"
"259","twenty","3","2.86147186147186","1.12799610202208"
"260","twenty","4","3.73103707886317","1.24141765211659"
"261","twenty","5","4.5643704121965","1.38030654100548"
"262","twenty","6","5.3643704121965","1.54030654100548"
"263","twenty","7","6.13360118142727","1.71782133390489"
"264","twenty","8","6.87434192216801","1.90986522965249"
"265","twenty","9","7.58862763645372","2.11394686230555"
"266","twenty","10","8.27828280886752","2.32797777788225"
"267","twenty","11","8.94494947553418","2.55020000010447"
"268","twenty","12","9.59011076585676","2.77912819989635"
"269","twenty","13","10.2151107658568","3.01350319989635"
"270","twenty","14","10.8211713719174","3.25225434773841"
"271","twenty","15","11.409406666035","3.49446888061038"
"272","twenty","16","11.9808352374636","3.73936683979406"
"273","twenty","17","12.5363907930191","3.98628042004097"
"274","twenty","18","13.0769313335597","4.23463688461365"
"275","twenty","19","13.6032471230334","4.48394436383803"
"276","twenty","20","14.1160676358539","4.73377999828904"
"277","twenty","21","14.6160676358539","4.98377999828904"
"278","twenty","22","15.1038725139027","5.23363127728964"
"279","twenty","23","15.5800629900931","5.4830643838656"
"280","twenty","24","16.0451792691629","5.73184750987967"
"281","twenty","25","16.4997247237084","5.97978139417719"
"282","twenty","26","16.9441691681528","6.2266949744241"
"283","twenty","27","17.3789517768485","6.47244166629556"
"284","twenty","28","17.8044836917421","6.71689617059614"
"285","twenty","29","18.2211503584087","6.9599517261517"
"286","twenty","30","18.6293136237149","7.20151774031247"
"287","twenty","31","19.0293136237149","7.44151774031246"
"288","twenty","32","19.42147048646","7.67988759805948"
"289","twenty","33","19.8060858710753","7.91657398859203"
"290","twenty","34","20.1834443616414","8.15153304875579"
"291","twenty","35","20.5538147320118","8.38472920787788"
"292","twenty","36","20.9174510956481","8.61613416655556"
"293","twenty","37","21.274593952791","8.84572600329025"
"294","twenty","38","21.6254711457734","9.07348839171746"
"295","twenty","39","21.9702987319803","9.29940991371509"
"296","twenty","40","22.3092817828278","9.52348345580069"
"297","twenty","41","22.6426151161611","9.74570567802291"
"298","twenty","42","22.9704839686201","9.96607654606914"
"299","twenty","43","23.2930646137814","10.1845989185978"
"300","twenty","44","23.6105249312417","10.4012781828961"
"301","twenty","45","23.9230249312417","10.6161219328961"
"302","twenty","46","24.2307172389341","10.8291396843754"
"303","twenty","47","24.5337475419644","11.040342622851"
"304","twenty","48","24.8322550046509","11.249743380258"
"305","twenty","49","25.1263726517097","11.4573558370054"
"306","twenty","50","25.4162277241735","11.6631949464362"
"307","twenty","51","25.7019420098878","11.8672765790893"
"308","twenty","52","25.9836321507329","12.069617384485"
"309","twenty","53","26.2614099285106","12.2702346684356"
"310","twenty","54","26.5353825312504","12.4691462841234"
"311","twenty","55","26.8056528015206","12.6663705354017"
"312","twenty","56","27.0723194681873","12.8619260909573"
"313","twenty","57","27.3354773629242","13.0558319081318"
"314","twenty","58","27.5952176226644","13.2481071653421"
"315","twenty","59","27.8516278790747","13.43877120216"
"316","twenty","60","28.1047924360367","13.6278434662202"
"317","twenty","61","28.3547924360367","13.8153434662202"
"318","twenty","62","28.6017060162836","14.0012907303568"
"319","twenty","63","28.845608455308","14.1857047696191"
"320","twenty","64","29.0865723107297","14.3686050454211"
"321","twenty","65","29.3246675488249","14.5500109411127"
"322","twenty","66","29.559961666472","14.7299417369605"
"323","twenty","67","29.7925198060069","14.9084165882315"
"324","twenty","68","30.0224048634781","15.0854545060541"
"325","twenty","69","30.2496775907509","15.2610743407649"
"326","twenty","70","30.4743966918744","15.4352947674787"
"327","twenty","71","30.6966189140967","15.6081342736515"
"328","twenty","72","30.9163991338769","15.7796111484251"
"329","twenty","73","31.1337904382247","15.9497434735669"
"330","twenty","74","31.3488442016656","16.1185491158377"
"331","twenty","75","31.5616101591124","16.2860457206362"
"332","twenty","76","31.7721364749019","16.4522507067858"
"333","twenty","77","31.9804698082352","16.6171812623414"
"334","twenty","78","32.1866553752455","16.7808543413083"
"335","twenty","79","32.3907370078986","16.943286661175"
"336","twenty","80","32.5927572099188","17.1044947011709"
"337","twenty","81","32.7927572099188","17.2644947011709"
"338","twenty","82","32.990777011899","17.4233026611749"
"339","twenty","83","33.1868554432715","17.5809343412979"
"340","twenty","84","33.3810302005531","17.7374052622141"
"341","twenty","85","33.5733378928608","17.8927307060011"
"342","twenty","86","33.763814083337","18.046925717339"
"343","twenty","87","33.95249332862","18.2000051050214"
"344","twenty","88","34.1394092164704","18.3519834437409"
"345","twenty","89","34.3245944016556","18.5028750761141"
"346","twenty","90","34.5080806401877","18.6526941149155"
"347","twenty","91","34.6898988220059","18.801454445494"
"348","twenty","92","34.8700790021861","18.9491697283444"
"349","twenty","93","35.0486504307575","19.0958534018138"
"350","twenty","94","35.2256415812","19.2415186849213"
"351","twenty","95","35.4010801776912","19.3861785802738"
"352","twenty","96","35.5749932211695","19.5298458770601"
"353","twenty","97","35.7474070142729","19.6725331541113"
"354","twenty","98","35.9183471852131","19.8142527830104"
"355","twenty","99","36.0878387106368","19.9550169312437"
"356","twenty","100","36.2559059375276","20.0948375653797"
"357","twenty","101","36.4225726041943","20.2337264542686"
"358","twenty","102","36.5878618603926","20.3716951722523"
"359","twenty","103","36.7517962866221","20.5087551023786"
"360","twenty","104","36.9143979126384","20.6449174396117"
"361","twenty","105","37.075688235219","20.7801931940342"
"362","twenty","106","37.235688235219","20.9145931940342"
"363","twenty","107","37.3944183939492","21.0481280894739"
"364","twenty","108","37.5518987089098","21.1808083548344"
"365","twenty","109","37.7081487089098","21.3126442923344"
"366","twenty","110","37.8631874685997","21.4436460350181"
"367","twenty","111","38.0170336224459","21.573823549811"
"368","twenty","112","38.1697053781711","21.70318664054"
"369","twenty","113","38.3212205296862","21.8317449509165"
"370","twenty","114","38.4715964695359","21.9595079674805"
"371","twenty","115","38.6208502008791","22.0864850225039"
"372","twenty","116","38.7689983490273","22.2126852968523"
"373","twenty","117","38.9160571725567","22.3381178228038"
"374","twenty","118","39.0620425740166","22.4627914868243"
"375","twenty","119","39.2069701102484","22.5867150322979"
"376","twenty","120","39.3508550023348","22.7098970622136"
"377","twenty","121","39.4937121451919","22.8323460418054"
"378","twenty","122","39.6355561168231","22.9540703011485"
"379","twenty","123","39.7764011872456","23.0750780377087"
"380","twenty","124","39.9162613271058","23.1953773188472"
"381","twenty","125","40.0551502159947","23.3149760842793"
"382","twenty","126","40.1930812504774","23.4338821484885"
"383","twenty","127","40.3300675518473","23.5521032030954"
"384","twenty","128","40.466121973616","23.6696468191813"
