Pop,Theta,Growth,samplingSize,n.haplotypes
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,2,1
2,two,no,2,2
2,two,no,2,1
2,two,no,4,2
2,two,no,4,1
2,two,no,4,2
2,two,no,4,1
2,two,no,4,2
2,two,no,4,1
2,two,no,4,2
2,two,no,4,2
2,two,no,4,2
2,two,no,4,3
2,two,no,4,2
2,two,no,4,1
2,two,no,4,4
2,two,no,4,3
2,two,no,4,1
2,two,no,4,2
2,two,no,4,1
2,two,no,4,1
2,two,no,4,1
2,two,no,4,1
2,two,no,4,1
2,two,no,4,2
2,two,no,4,1
2,two,no,4,1
2,two,no,4,2
2,two,no,4,2
2,two,no,4,1
2,two,no,4,2
2,two,no,4,2
2,two,no,4,2
2,two,no,4,1
2,two,no,4,2
2,two,no,4,2
2,two,no,4,2
2,two,no,4,1
2,two,no,4,1
2,two,no,4,1
2,two,no,4,3
2,two,no,4,2
2,two,no,4,2
2,two,no,4,1
2,two,no,4,2
2,two,no,4,3
2,two,no,4,1
2,two,no,4,4
2,two,no,4,2
2,two,no,4,2
2,two,no,4,2
2,two,no,4,1
2,two,no,4,1
2,two,no,4,2
2,two,no,4,1
2,two,no,4,1
2,two,no,4,1
2,two,no,4,1
2,two,no,4,3
2,two,no,4,2
2,two,no,4,1
2,two,no,4,3
2,two,no,4,2
2,two,no,4,1
2,two,no,4,1
2,two,no,4,3
2,two,no,4,2
2,two,no,4,2
2,two,no,4,1
2,two,no,4,1
2,two,no,4,2
2,two,no,4,1
2,two,no,4,2
2,two,no,4,3
2,two,no,4,2
2,two,no,4,2
2,two,no,4,2
2,two,no,4,1
2,two,no,4,2
2,two,no,4,2
2,two,no,4,1
2,two,no,4,3
2,two,no,4,3
2,two,no,4,1
2,two,no,4,3
2,two,no,4,1
2,two,no,4,2
2,two,no,4,1
2,two,no,4,2
2,two,no,4,1
2,two,no,4,3
2,two,no,4,1
2,two,no,4,1
2,two,no,4,2
2,two,no,4,2
2,two,no,4,1
2,two,no,4,1
2,two,no,4,3
2,two,no,4,1
2,two,no,4,1
2,two,no,4,2
2,two,no,4,3
2,two,no,4,1
2,two,no,8,1
2,two,no,8,3
2,two,no,8,3
2,two,no,8,2
2,two,no,8,3
2,two,no,8,3
2,two,no,8,1
2,two,no,8,2
2,two,no,8,5
2,two,no,8,1
2,two,no,8,4
2,two,no,8,2
2,two,no,8,3
2,two,no,8,2
2,two,no,8,2
2,two,no,8,3
2,two,no,8,3
2,two,no,8,3
2,two,no,8,2
2,two,no,8,1
2,two,no,8,2
2,two,no,8,3
2,two,no,8,1
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,3
2,two,no,8,2
2,two,no,8,3
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,3
2,two,no,8,1
2,two,no,8,2
2,two,no,8,3
2,two,no,8,2
2,two,no,8,4
2,two,no,8,3
2,two,no,8,4
2,two,no,8,2
2,two,no,8,2
2,two,no,8,3
2,two,no,8,4
2,two,no,8,2
2,two,no,8,3
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,4
2,two,no,8,1
2,two,no,8,2
2,two,no,8,2
2,two,no,8,1
2,two,no,8,2
2,two,no,8,2
2,two,no,8,3
2,two,no,8,1
2,two,no,8,3
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,3
2,two,no,8,2
2,two,no,8,3
2,two,no,8,1
2,two,no,8,3
2,two,no,8,3
2,two,no,8,2
2,two,no,8,2
2,two,no,8,1
2,two,no,8,3
2,two,no,8,2
2,two,no,8,2
2,two,no,8,2
2,two,no,8,4
2,two,no,8,2
2,two,no,8,1
2,two,no,8,3
2,two,no,8,3
2,two,no,8,2
2,two,no,8,4
2,two,no,8,3
2,two,no,8,1
2,two,no,8,3
2,two,no,8,2
2,two,no,8,3
2,two,no,8,2
2,two,no,8,3
2,two,no,8,2
2,two,no,8,3
2,two,no,8,3
2,two,no,8,2
2,two,no,8,2
2,two,no,8,1
2,two,no,16,3
2,two,no,16,4
2,two,no,16,4
2,two,no,16,4
2,two,no,16,3
2,two,no,16,4
2,two,no,16,3
2,two,no,16,5
2,two,no,16,2
2,two,no,16,4
2,two,no,16,4
2,two,no,16,4
2,two,no,16,3
2,two,no,16,3
2,two,no,16,2
2,two,no,16,3
2,two,no,16,2
2,two,no,16,3
2,two,no,16,1
2,two,no,16,3
2,two,no,16,3
2,two,no,16,2
2,two,no,16,3
2,two,no,16,3
2,two,no,16,1
2,two,no,16,3
2,two,no,16,4
2,two,no,16,2
2,two,no,16,2
2,two,no,16,3
2,two,no,16,3
2,two,no,16,6
2,two,no,16,3
2,two,no,16,2
2,two,no,16,4
2,two,no,16,2
2,two,no,16,3
2,two,no,16,4
2,two,no,16,4
2,two,no,16,5
2,two,no,16,2
2,two,no,16,5
2,two,no,16,3
2,two,no,16,6
2,two,no,16,2
2,two,no,16,3
2,two,no,16,3
2,two,no,16,3
2,two,no,16,4
2,two,no,16,2
2,two,no,16,2
2,two,no,16,2
2,two,no,16,3
2,two,no,16,3
2,two,no,16,2
2,two,no,16,3
2,two,no,16,1
2,two,no,16,3
2,two,no,16,2
2,two,no,16,3
2,two,no,16,3
2,two,no,16,3
2,two,no,16,4
2,two,no,16,4
2,two,no,16,2
2,two,no,16,2
2,two,no,16,2
2,two,no,16,4
2,two,no,16,3
2,two,no,16,4
2,two,no,16,3
2,two,no,16,4
2,two,no,16,5
2,two,no,16,3
2,two,no,16,4
2,two,no,16,1
2,two,no,16,2
2,two,no,16,4
2,two,no,16,2
2,two,no,16,5
2,two,no,16,2
2,two,no,16,2
2,two,no,16,4
2,two,no,16,2
2,two,no,16,4
2,two,no,16,4
2,two,no,16,2
2,two,no,16,2
2,two,no,16,2
2,two,no,16,3
2,two,no,16,3
2,two,no,16,4
2,two,no,16,3
2,two,no,16,6
2,two,no,16,3
2,two,no,16,5
2,two,no,16,4
