Theta,wak.n,wak.segsites,wak.prob
ten,33,5,4.29E-06
ten,34,5,3.55E-06
ten,35,5,2.94E-06
ten,36,5,2.46E-06
ten,37,5,2.07E-06
ten,38,5,1.73E-06
ten,39,5,1.49E-06
ten,40,5,1.25E-06
ten,41,5,1.01E-06
ten,42,5,1.11E-06
ten,43,5,7.26E-07
ten,44,5,1.13E-06
ten,45,5,4.56E-07
ten,46,5,2.11E-06
ten,47,5,2.39E-06
ten,48,5,4.98E-06
ten,49,5,-1.77E-05
ten,50,5,8.03E-06
twenty,1,5,0
twenty,2,5,0.03731077
twenty,3,5,0.018174147
twenty,4,5,0.00743927
twenty,5,5,0.002975684
twenty,6,5,0.001209336
twenty,7,5,0.000505718
twenty,8,5,0.00021845
twenty,9,5,9.75E-05
twenty,10,5,4.49E-05
twenty,11,5,2.13E-05
twenty,12,5,1.04E-05
twenty,13,5,5.24E-06
twenty,14,5,2.70E-06
twenty,15,5,1.42E-06
twenty,16,5,7.65E-07
twenty,17,5,4.20E-07
twenty,18,5,2.35E-07
twenty,19,5,1.34E-07
twenty,20,5,7.79E-08
twenty,21,5,4.59E-08
twenty,22,5,2.75E-08
twenty,23,5,1.67E-08
twenty,24,5,1.03E-08
twenty,25,5,6.41E-09
twenty,26,5,4.08E-09
twenty,27,5,2.67E-09
twenty,28,5,1.66E-09
twenty,29,5,1.36E-09
twenty,30,5,-3.73E-11
twenty,31,5,-2.14E-10
twenty,32,5,-5.45E-10
twenty,33,5,-7.06E-09
twenty,34,5,-1.05E-09
twenty,35,5,-1.41E-08
twenty,36,5,-1.54E-08
twenty,37,5,-7.56E-08
twenty,38,5,-1.62E-07
twenty,39,5,-2.15E-07
twenty,40,5,-6.75E-07
twenty,41,5,-1.19E-06
twenty,42,5,-2.23E-06
twenty,43,5,-4.91E-06
twenty,44,5,-5.21E-06
twenty,45,5,-8.83E-06
twenty,46,5,-2.57E-05
twenty,47,5,-6.84E-05
twenty,48,5,-8.68E-05
twenty,49,5,-0.000172867
twenty,50,5,-0.000391251
two,1,6,0
two,2,6,0.029263832
two,3,6,0.050715163
two,4,6,0.066811595
two,5,6,0.079096232
two,6,6,0.08858625
two,7,6,0.095978354
two,8,6,0.101764799
two,9,6,0.106302435
two,10,6,0.109855603
two,11,6,0.112623756
two,12,6,0.114759798
two,13,6,0.116382581
two,14,6,0.117585619
two,15,6,0.11844328
two,16,6,0.119015278
two,17,6,0.11934997
two,18,6,0.119486814
two,19,6,0.119458235
two,20,6,0.119291039
two,21,6,0.119007517
two,22,6,0.118626296
two,23,6,0.118163016
two,24,6,0.117630865
two,25,6,0.117041001
two,26,6,0.116402903
two,27,6,0.115724645
two,28,6,0.115013123
two,29,6,0.114274244
two,30,6,0.113513076
two,31,6,0.112733978
two,32,6,0.111940704
two,33,6,0.111136492
two,34,6,0.110324137
two,35,6,0.109506054
two,36,6,0.108684331
