Pop,Theta,samplingSize,n.seg.sites
1,two,32,5
1,two,32,5
1,two,32,7
1,two,32,7
1,two,32,5
1,two,32,8
1,two,32,5
1,two,32,7
1,two,32,7
1,two,32,5
1,two,32,4
1,two,32,5
1,two,32,4
1,two,32,6
1,two,32,8
1,two,32,3
1,two,32,6
1,two,32,3
1,two,32,7
1,two,32,5
1,two,32,5
1,two,32,4
1,two,32,6
1,two,32,7
1,two,32,5
1,two,32,6
1,two,32,3
1,two,32,6
1,two,32,7
1,two,32,7
1,two,32,5
1,two,32,3
1,two,32,4
1,two,32,7
1,two,32,8
1,two,32,4
1,two,32,4
1,two,32,7
1,two,32,7
1,two,32,4
1,two,32,5
1,two,32,5
1,two,32,2
1,two,32,7
1,two,32,8
1,two,32,6
1,two,32,2
1,two,32,7
1,two,32,9
1,two,32,5
1,two,32,4
1,two,32,4
1,two,32,6
1,two,32,8
1,two,32,5
1,two,32,7
1,two,32,5
1,two,32,6
1,two,32,5
1,two,32,7
1,two,32,4
1,two,32,4
1,two,32,4
1,two,32,7
1,two,32,4
1,two,32,5
1,two,32,5
1,two,32,2
1,two,32,6
1,two,32,5
1,two,32,6
1,two,32,5
1,two,32,4
1,two,32,8
1,two,32,2
1,two,32,5
1,two,32,9
1,two,32,5
1,two,32,7
1,two,32,5
1,two,32,7
1,two,32,3
1,two,32,7
1,two,32,7
1,two,32,8
1,two,32,4
1,two,32,3
1,two,32,8
1,two,32,3
1,two,32,5
1,two,32,6
1,two,32,6
1,two,32,7
1,two,32,9
1,two,32,6
1,two,64,9
1,two,64,8
1,two,64,10
1,two,64,8
1,two,64,7
1,two,64,9
1,two,64,7
1,two,64,8
1,two,64,7
1,two,64,5
1,two,64,5
1,two,64,7
1,two,64,8
1,two,64,5
1,two,64,5
1,two,64,10
1,two,64,9
1,two,64,9
1,two,64,6
1,two,64,7
1,two,64,6
1,two,64,8
1,two,64,9
1,two,64,10
1,two,64,10
1,two,64,9
1,two,64,10
1,two,64,6
1,two,64,9
1,two,64,10
1,two,64,8
1,two,64,10
1,two,64,8
1,two,64,8
1,two,64,7
1,two,64,9
1,two,64,8
1,two,64,6
1,two,64,6
1,two,64,9
1,two,64,8
1,two,64,8
1,two,64,9
1,two,64,9
1,two,64,10
1,two,64,7
1,two,64,9
1,two,64,5
1,two,64,6
1,two,64,8
1,two,64,6
1,two,64,7
1,two,64,6
1,two,64,8
1,two,64,7
1,two,64,6
1,two,64,8
1,two,64,8
1,two,64,9
1,two,64,9
1,two,64,8
1,two,64,7
1,two,64,6
1,two,64,8
1,two,64,10
1,two,64,8
1,two,64,4
1,two,64,6
1,two,64,5
1,two,64,5
1,two,64,7
1,two,64,10
1,two,64,7
1,two,64,9
1,two,64,5
1,two,64,8
1,two,64,10
1,two,64,8
1,two,64,9
1,two,64,7
1,two,64,4
1,two,64,8
1,two,64,8
1,two,64,8
1,two,64,7
1,two,64,9
1,two,64,7
1,two,64,7
1,two,64,7
1,two,64,7
1,two,64,6
1,two,64,6
1,two,64,10
1,two,64,7
1,two,64,9
1,two,64,6
1,two,64,9
1,two,64,8
1,two,64,9
1,two,64,10
1,two,128,8
1,two,128,10
1,two,128,7
1,two,128,10
1,two,128,11
1,two,128,10
1,two,128,8
1,two,128,9
1,two,128,9
1,two,128,11
1,two,128,10
1,two,128,10
1,two,128,12
1,two,128,11
1,two,128,9
1,two,128,9
1,two,128,8
1,two,128,6
1,two,128,8
1,two,128,10
1,two,128,10
