Theta,wak.n,wak.segsites,wak.prob
twenty,6,117,0.000777007
twenty,6,118,0.000740563
twenty,6,119,0.000705804
twenty,6,120,0.000672655
twenty,6,121,0.000641043
twenty,6,122,0.000610898
twenty,6,123,0.000582154
twenty,6,124,0.000554748
twenty,6,125,0.000528618
twenty,6,126,0.000503707
twenty,6,127,0.000479958
twenty,6,128,0.000457318
twenty,6,129,0.000435737
twenty,7,0,4.34E-06
twenty,7,1,2.22977E-05
twenty,7,2,6.68237E-05
twenty,7,3,0.000152698
twenty,7,4,0.000294633
twenty,7,5,0.000505718
twenty,7,6,0.000796305
twenty,7,7,0.00117334
twenty,7,8,0.001640098
twenty,7,9,0.00219624
twenty,7,10,0.002838094
twenty,7,11,0.003559105
twenty,7,12,0.004350368
twenty,7,13,0.005201192
twenty,7,14,0.006099665
twenty,7,15,0.007033176
twenty,7,16,0.007988887
twenty,7,17,0.008954132
twenty,7,18,0.009916754
twenty,7,19,0.010865367
twenty,7,20,0.011789552
twenty,7,21,0.012679992
twenty,7,22,0.013528557
twenty,7,23,0.01432834
twenty,7,24,0.015073652
twenty,7,25,0.015759998
twenty,7,26,0.016384014
twenty,7,27,0.016943394
twenty,7,28,0.017436811
twenty,7,29,0.017863813
twenty,7,30,0.018224735
twenty,7,31,0.018520594
twenty,7,32,0.018752995
twenty,7,33,0.018924039
twenty,7,34,0.019036233
twenty,7,35,0.019092411
twenty,7,36,0.019095654
twenty,7,37,0.019049229
twenty,7,38,0.018956523
twenty,7,39,0.01882099
twenty,7,40,0.018646104
twenty,7,41,0.018435323
twenty,7,42,0.018192049
twenty,7,43,0.0179196
twenty,7,44,0.017621192
twenty,7,45,0.017299915
twenty,7,46,0.016958718
twenty,7,47,0.016600405
twenty,7,48,0.01622762
twenty,7,49,0.015842845
twenty,7,50,0.015448402
twenty,7,51,0.015046446
twenty,7,52,0.014638971
twenty,7,53,0.014227813
twenty,7,54,0.013814653
twenty,7,55,0.013401022
twenty,7,56,0.012988311
twenty,7,57,0.01257777
twenty,7,58,0.012170524
twenty,7,59,0.011767572
twenty,7,60,0.011369801
twenty,7,61,0.010977987
twenty,7,62,0.010592807
twenty,7,63,0.010214846
twenty,7,64,0.009844601
twenty,7,65,0.00948249
twenty,7,66,0.009128857
twenty,7,67,0.00878398
twenty,7,68,0.008448075
twenty,7,69,0.008121303
twenty,7,70,0.007803775
twenty,7,71,0.007495557
twenty,7,72,0.007196673
twenty,7,73,0.006907112
twenty,7,74,0.00662683
twenty,7,75,0.006355755
twenty,7,76,0.00609379
twenty,7,77,0.005840814
twenty,7,78,0.00559669
twenty,7,79,0.005361263
twenty,7,80,0.005134364
twenty,7,81,0.004915812
twenty,7,82,0.004705419
twenty,7,83,0.004502985
twenty,7,84,0.004308307
twenty,7,85,0.004121177
twenty,7,86,0.003941382
twenty,7,87,0.003768708
twenty,7,88,0.00360294
twenty,7,89,0.003443862
twenty,7,90,0.003291261
twenty,7,91,0.003144923
twenty,7,92,0.003004636
twenty,7,93,0.002870193
twenty,7,94,0.002741389
twenty,7,95,0.00261802
twenty,7,96,0.00249989
twenty,7,97,0.002386805
twenty,7,98,0.002278576
twenty,7,99,0.002175017
twenty,7,100,0.00207595
twenty,7,101,0.001981198
twenty,7,102,0.001890593
twenty,7,103,0.001803968
twenty,7,104,0.001721164
twenty,7,105,0.001642026
twenty,7,106,0.001566405
twenty,7,107,0.001494154
twenty,7,108,0.001425133
twenty,7,109,0.001359209
twenty,7,110,0.00129625
twenty,7,111,0.00123613
twenty,7,112,0.001178729
twenty,7,113,0.00112393
twenty,7,114,0.001071621
twenty,7,115,0.001021694
twenty,7,116,0.000974045
twenty,7,117,0.000928575
twenty,7,118,0.000885187
twenty,7,119,0.000843791
twenty,7,120,0.000804298
twenty,7,121,0.000766624
twenty,7,122,0.000730687
twenty,7,123,0.00069641
twenty,7,124,0.000663719
twenty,7,125,0.000632542
twenty,7,126,0.000602811
twenty,7,127,0.00057446
twenty,7,128,0.000547427
twenty,7,129,0.000521653
twenty,8,0,1.13E-06
twenty,8,1,6.62E-06
twenty,8,2,2.22247E-05
twenty,8,3,5.60511E-05
twenty,8,4,0.000117906
twenty,8,5,0.00021845
twenty,8,6,0.000368264
twenty,8,7,0.000576987
twenty,8,8,0.000852609
twenty,8,9,0.001200958
twenty,8,10,0.0016254
twenty,8,11,0.002126731
twenty,8,12,0.00270323
twenty,8,13,0.00335085
twenty,8,14,0.004063505
twenty,8,15,0.00483342
twenty,8,16,0.005651504
twenty,8,17,0.006507741
twenty,8,18,0.007391559
twenty,8,19,0.008292176
twenty,8,20,0.009198903
twenty,8,21,0.010101408
twenty,8,22,0.010989928
twenty,8,23,0.011855442
twenty,8,24,0.012689793
twenty,8,25,0.013485772
twenty,8,26,0.014237168
twenty,8,27,0.014938782
twenty,8,28,0.015586419
twenty,8,29,0.016176855
twenty,8,30,0.016707787
twenty,8,31,0.017177774
twenty,8,32,0.017586165
twenty,8,33,0.017933021
twenty,8,34,0.018219039
twenty,8,35,0.018445469
twenty,8,36,0.018614035
twenty,8,37,0.018726863
twenty,8,38,0.018786405
twenty,8,39,0.018795371
twenty,8,40,0.018756672
twenty,8,41,0.01867336
twenty,8,42,0.018548575
twenty,8,43,0.018385508
twenty,8,44,0.018187352
twenty,8,45,0.017957276
twenty,8,46,0.01769839
twenty,8,47,0.017413727
twenty,8,48,0.017106218
twenty,8,49,0.016778677
twenty,8,50,0.016433791
twenty,8,51,0.016074109
twenty,8,52,0.015702036
twenty,8,53,0.01531983
twenty,8,54,0.014929599
twenty,8,55,0.014533301
twenty,8,56,0.014132748
twenty,8,57,0.013729606
twenty,8,58,0.0133254
twenty,8,59,0.012921518
twenty,8,60,0.012519221
twenty,8,61,0.012119642
twenty,8,62,0.011723796
twenty,8,63,0.011332587
twenty,8,64,0.010946813
twenty,8,65,0.010567174
twenty,8,66,0.010194277
twenty,8,67,0.009828644
twenty,8,68,0.009470719
twenty,8,69,0.00912087
twenty,8,70,0.008779401
twenty,8,71,0.008446553
twenty,8,72,0.00812251
twenty,8,73,0.007807407
twenty,8,74,0.007501331
twenty,8,75,0.00720433
twenty,8,76,0.006916412
twenty,8,77,0.006637553
twenty,8,78,0.0063677
twenty,8,79,0.006106772
twenty,8,80,0.005854666
twenty,8,81,0.00561126
twenty,8,82,0.005376412
twenty,8,83,0.005149968
twenty,8,84,0.00493176
twenty,8,85,0.004721608
twenty,8,86,0.004519327
twenty,8,87,0.004324722
twenty,8,88,0.004137593
twenty,8,89,0.003957737
twenty,8,90,0.003784947
twenty,8,91,0.003619015
twenty,8,92,0.003459732
twenty,8,93,0.003306888
twenty,8,94,0.003160277
twenty,8,95,0.003019692
twenty,8,96,0.002884929
twenty,8,97,0.002755786
twenty,8,98,0.002632064
twenty,8,99,0.002513571
twenty,8,100,0.002400113
twenty,8,101,0.002291506
twenty,8,102,0.002187565
twenty,8,103,0.002088114
twenty,8,104,0.001992979
twenty,8,105,0.001901991
twenty,8,106,0.001814987
twenty,8,107,0.001731808
twenty,8,108,0.0016523
twenty,8,109,0.001576313
twenty,8,110,0.001503704
twenty,8,111,0.001434333
twenty,8,112,0.001368066
twenty,8,113,0.001304771
twenty,8,114,0.001244325
twenty,8,115,0.001186606
twenty,8,116,0.001131497
twenty,8,117,0.001078888
twenty,8,118,0.001028669
twenty,8,119,0.000980738
twenty,8,120,0.000934994
twenty,8,121,0.000891343
twenty,8,122,0.000849691
twenty,8,123,0.000809952
twenty,8,124,0.00077204
twenty,8,125,0.000735873
twenty,8,126,0.000701376
twenty,8,127,0.000668472
twenty,8,128,0.00063709
twenty,8,129,0.000607162
twenty,9,0,3.22E-07
twenty,9,1,2.12E-06
twenty,9,2,7.86E-06
twenty,9,3,2.16318E-05
twenty,9,4,4.91386E-05
twenty,9,5,9.75132E-05
twenty,9,6,0.000174871
twenty,9,7,0.000289761
twenty,9,8,0.000450575
twenty,9,9,0.00066497
twenty,9,10,0.000939379
twenty,9,11,0.001278622
twenty,9,12,0.001685653
twenty,9,13,0.002161423
twenty,9,14,0.002704875
twenty,9,15,0.003313031
twenty,9,16,0.003981166
twenty,9,17,0.004703045
twenty,9,18,0.005471192
twenty,9,19,0.006277187
twenty,9,20,0.007111963
twenty,9,21,0.00796609
twenty,9,22,0.008830044
twenty,9,23,0.009694443
twenty,9,24,0.010550257
twenty,9,25,0.011388976
twenty,9,26,0.012202745
twenty,9,27,0.01298447
twenty,9,28,0.013727884
twenty,9,29,0.01442759
twenty,9,30,0.015079075
twenty,9,31,0.015678703
twenty,9,32,0.016223692
twenty,9,33,0.016712072
twenty,9,34,0.017142634
twenty,9,35,0.017514872
twenty,9,36,0.017828919
twenty,9,37,0.018085474
twenty,9,38,0.01828574
twenty,9,39,0.018431349
twenty,9,40,0.018524299
twenty,9,41,0.018566887
twenty,9,42,0.018561655
twenty,9,43,0.018511328
twenty,9,44,0.018418763
twenty,9,45,0.01828691
twenty,9,46,0.018118761
twenty,9,47,0.017917323
twenty,9,48,0.017685579
twenty,9,49,0.017426464
twenty,9,50,0.017142843
twenty,9,51,0.01683749
twenty,9,52,0.016513075
twenty,9,53,0.016172148
twenty,9,54,0.015817134
twenty,9,55,0.015450325
twenty,9,56,0.015073874
twenty,9,57,0.014689798
twenty,9,58,0.01429997
twenty,9,59,0.013906126
twenty,9,60,0.013509868
twenty,9,61,0.01311266
twenty,9,62,0.012715842
twenty,9,63,0.012320626
twenty,9,64,0.011928108
twenty,9,65,0.01153927
twenty,9,66,0.011154986
twenty,9,67,0.010776031
twenty,9,68,0.010403085
twenty,9,69,0.010036738
twenty,9,70,0.009677499
twenty,9,71,0.0093258
twenty,9,72,0.008982003
twenty,9,73,0.008646404
twenty,9,74,0.00831924
twenty,9,75,0.008000694
twenty,9,76,0.0076909
twenty,9,77,0.007389944
twenty,9,78,0.007097874
twenty,9,79,0.006814702
twenty,9,80,0.006540406
twenty,9,81,0.006274936
twenty,9,82,0.006018215
