Pop,Theta,Growth,samplingSize,n.haplotypes,hap.diversity,Max.Gamma.value
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,5,0.5504204,9
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,8,0.5504204,14
1,two,yes,128,7,0.5504204,12
1,two,yes,128,9,0.5504204,16
1,two,yes,128,6,0.5504204,10
1,two,yes,128,5,0.5504204,9
1,two,yes,128,6,0.5504204,10
1,two,yes,128,8,0.5504204,14
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,8,0.5504204,14
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,5,0.5504204,9
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,8,0.5504204,14
1,two,yes,128,5,0.5504204,9
1,two,yes,128,9,0.5504204,16
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,8,0.5504204,14
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,5,0.5504204,9
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,5,0.5504204,9
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,9,0.5504204,16
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,8,0.5504204,14
1,two,yes,128,5,0.5504204,9
1,two,yes,128,8,0.5504204,14
1,two,yes,128,8,0.5504204,14
1,two,yes,128,7,0.5504204,12
1,two,yes,128,10,0.5504204,18
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,5,0.5504204,9
1,two,yes,128,8,0.5504204,14
1,two,yes,128,7,0.5504204,12
1,two,yes,128,9,0.5504204,16
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,5,0.5504204,9
1,two,yes,128,8,0.5504204,14
1,two,yes,128,8,0.5504204,14
1,two,yes,128,6,0.5504204,10
1,two,yes,128,6,0.5504204,10
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,7,0.5504204,12
1,two,yes,128,6,0.5504204,10
1,two,yes,128,8,0.5504204,14
1,two,yes,128,8,0.5504204,14
1,two,yes,128,8,0.5504204,14
1,two,yes,128,7,0.5504204,12
2,two,no,2,2,0.3377538,5
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,2,0.3377538,5
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,2,0.3377538,5
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,2,0.3377538,5
2,two,no,2,2,0.3377538,5
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,1,0.3377538,3
2,two,no,2,2,0.3377538,5
