"","Pop","Theta","Growth","samplingSize","n.seg.sites"
"380",1,"two","yes","16",2
"381",1,"two","yes","16",5
"382",1,"two","yes","16",2
"383",1,"two","yes","16",5
"384",1,"two","yes","16",3
"385",1,"two","yes","16",5
"386",1,"two","yes","16",3
"387",1,"two","yes","16",2
"388",1,"two","yes","16",3
"389",1,"two","yes","16",1
"390",1,"two","yes","16",4
"391",1,"two","yes","16",3
"392",1,"two","yes","16",2
"393",1,"two","yes","16",3
"394",1,"two","yes","16",3
"395",1,"two","yes","16",3
"396",1,"two","yes","16",5
"397",1,"two","yes","16",4
"398",1,"two","yes","16",2
"399",1,"two","yes","16",5
"400",1,"two","yes","16",2
"401",1,"two","yes","16",2
"402",1,"two","yes","32",5
"403",1,"two","yes","32",5
"404",1,"two","yes","32",5
"405",1,"two","yes","32",3
"406",1,"two","yes","32",5
"407",1,"two","yes","32",5
"408",1,"two","yes","32",5
"409",1,"two","yes","32",2
"410",1,"two","yes","32",3
"411",1,"two","yes","32",6
"412",1,"two","yes","32",5
"413",1,"two","yes","32",6
"414",1,"two","yes","32",3
"415",1,"two","yes","32",4
"416",1,"two","yes","32",5
"417",1,"two","yes","32",3
"418",1,"two","yes","32",5
"419",1,"two","yes","32",5
"420",1,"two","yes","32",5
"421",1,"two","yes","32",5
"422",1,"two","yes","32",4
"423",1,"two","yes","32",5
"424",1,"two","yes","32",5
"425",1,"two","yes","32",5
"426",1,"two","yes","32",5
"427",1,"two","yes","32",5
"428",1,"two","yes","32",4
"429",1,"two","yes","32",5
"430",1,"two","yes","32",8
"431",1,"two","yes","32",4
"432",1,"two","yes","32",3
"433",1,"two","yes","32",7
"434",1,"two","yes","32",4
"435",1,"two","yes","32",5
"436",1,"two","yes","32",6
"437",1,"two","yes","32",4
"438",1,"two","yes","32",6
"439",1,"two","yes","32",5
"440",1,"two","yes","32",3
"441",1,"two","yes","32",7
"442",1,"two","yes","32",7
"443",1,"two","yes","32",5
"444",1,"two","yes","32",6
"445",1,"two","yes","32",8
"446",1,"two","yes","32",4
"447",1,"two","yes","32",5
"448",1,"two","yes","32",3
"449",1,"two","yes","32",3
"450",1,"two","yes","32",6
"451",1,"two","yes","32",5
"452",1,"two","yes","32",4
"453",1,"two","yes","32",2
"454",1,"two","yes","32",6
"455",1,"two","yes","32",3
"456",1,"two","yes","32",6
"457",1,"two","yes","32",5
"458",1,"two","yes","32",3
"459",1,"two","yes","32",6
"460",1,"two","yes","32",3
"461",1,"two","yes","32",7
"462",1,"two","yes","32",5
"463",1,"two","yes","32",5
"464",1,"two","yes","32",6
"465",1,"two","yes","32",3
"466",1,"two","yes","32",5
"467",1,"two","yes","32",3
"468",1,"two","yes","32",7
"469",1,"two","yes","32",5
"470",1,"two","yes","32",5
"471",1,"two","yes","32",3
"472",1,"two","yes","32",6
"473",1,"two","yes","32",6
"474",1,"two","yes","32",5
"475",1,"two","yes","32",5
"476",1,"two","yes","32",4
"477",1,"two","yes","32",7
"478",1,"two","yes","32",4
"479",1,"two","yes","32",6
"480",1,"two","yes","32",3
"481",1,"two","yes","32",3
"482",1,"two","yes","32",5
"483",1,"two","yes","32",5
"484",1,"two","yes","32",5
"485",1,"two","yes","32",5
"486",1,"two","yes","32",2
"487",1,"two","yes","32",6
"488",1,"two","yes","32",7
"489",1,"two","yes","32",6
"490",1,"two","yes","32",4
"491",1,"two","yes","32",4
"492",1,"two","yes","32",3
"493",1,"two","yes","32",6
"494",1,"two","yes","32",6
"495",1,"two","yes","32",3
"496",1,"two","yes","32",5
"497",1,"two","yes","32",5
"498",1,"two","yes","32",5
"499",1,"two","yes","32",5
