Pop,Theta,Growth,samplingSize,n.seg.sites
1,two,no,46,2
1,two,no,46,3
1,two,no,46,2
1,two,no,46,1
1,two,no,46,2
1,two,no,46,2
1,two,no,46,0
1,two,no,46,0
1,two,no,46,4
1,two,no,46,4
1,two,no,46,2
1,two,no,46,2
1,two,no,46,1
1,two,no,46,2
1,two,no,46,0
1,two,no,46,2
1,two,no,46,1
1,two,no,46,0
1,two,no,46,2
1,two,no,46,3
1,two,no,46,1
1,two,no,46,0
1,two,no,46,0
1,two,no,46,0
1,two,no,46,0
1,two,no,46,0
1,two,no,46,4
1,two,no,46,0
1,two,no,46,2
1,two,no,46,1
1,two,no,46,2
1,two,no,46,0
1,two,no,46,2
1,two,no,46,1
1,two,no,46,2
1,two,no,46,2
1,two,no,46,0
1,two,no,46,2
1,two,no,46,3
1,two,no,46,0
1,two,no,46,1
1,two,no,46,1
1,two,no,46,2
1,two,no,46,2
1,two,no,46,0
1,two,no,46,4
1,two,no,46,0
1,two,no,46,3
1,two,no,46,2
1,two,no,46,3
1,two,no,46,0
1,two,no,46,1
1,two,no,46,2
1,two,no,46,2
1,two,no,46,0
1,two,no,46,0
1,two,no,46,2
1,two,no,46,2
1,two,no,46,0
1,two,no,46,0
1,two,no,46,0
1,two,no,46,0
1,two,no,46,5
1,two,no,46,2
1,two,no,46,1
1,two,no,46,3
1,two,no,46,2
1,two,no,46,0
1,two,no,46,2
1,two,no,46,2
1,two,no,46,1
1,two,no,46,0
1,two,no,46,0
1,two,no,46,2
1,two,no,46,2
1,two,no,46,0
1,two,no,46,4
1,two,no,47,4
1,two,no,47,3
1,two,no,47,3
1,two,no,47,3
1,two,no,47,1
1,two,no,47,2
1,two,no,47,2
1,two,no,47,2
1,two,no,47,2
1,two,no,47,3
1,two,no,47,2
1,two,no,47,4
1,two,no,47,1
1,two,no,47,2
1,two,no,47,0
1,two,no,47,1
1,two,no,47,3
1,two,no,47,3
1,two,no,47,2
1,two,no,47,2
1,two,no,47,2
1,two,no,47,3
1,two,no,47,0
1,two,no,47,3
1,two,no,47,0
1,two,no,47,3
1,two,no,47,0
1,two,no,47,2
1,two,no,47,3
1,two,no,47,0
1,two,no,47,5
1,two,no,47,3
1,two,no,47,4
1,two,no,47,0
1,two,no,47,4
1,two,no,47,1
1,two,no,47,2
1,two,no,47,2
1,two,no,47,1
1,two,no,47,1
1,two,no,47,1
1,two,no,47,0
1,two,no,47,2
1,two,no,47,4
1,two,no,47,2
1,two,no,47,0
1,two,no,47,0
1,two,no,47,2
1,two,no,47,4
1,two,no,47,5
1,two,no,47,4
1,two,no,47,2
1,two,no,47,1
1,two,no,47,0
1,two,no,47,1
1,two,no,47,4
1,two,no,47,0
1,two,no,47,2
1,two,no,47,3
1,two,no,47,2
1,two,no,47,1
1,two,no,47,5
1,two,no,47,4
1,two,no,47,1
1,two,no,47,2
1,two,no,47,2
1,two,no,47,1
1,two,no,47,0
1,two,no,47,2
1,two,no,47,2
1,two,no,47,0
1,two,no,47,4
1,two,no,47,3
1,two,no,47,3
1,two,no,47,3
1,two,no,47,0
1,two,no,47,5
1,two,no,47,2
1,two,no,47,3
1,two,no,47,2
1,two,no,47,2
1,two,no,47,0
1,two,no,47,2
1,two,no,47,2
1,two,no,47,2
1,two,no,47,2
1,two,no,47,3
1,two,no,47,2
1,two,no,47,2
1,two,no,47,0
1,two,no,47,1
1,two,no,47,1
1,two,no,47,4
1,two,no,47,2
1,two,no,47,1
1,two,no,47,3
1,two,no,47,2
1,two,no,47,2
1,two,no,47,0
1,two,no,47,4
1,two,no,48,2
1,two,no,48,4
1,two,no,48,4
1,two,no,48,2
1,two,no,48,0
1,two,no,48,1
1,two,no,48,2
1,two,no,48,0
1,two,no,48,1
1,two,no,48,1
1,two,no,48,1
1,two,no,48,2
1,two,no,48,3
1,two,no,48,4
1,two,no,48,3
1,two,no,48,2
1,two,no,48,0
1,two,no,48,5
1,two,no,48,1
1,two,no,48,3
1,two,no,48,0
1,two,no,48,3
1,two,no,48,2
1,two,no,48,2
1,two,no,48,2
1,two,no,48,2
1,two,no,48,3
1,two,no,48,0
1,two,no,48,1
1,two,no,48,5
1,two,no,48,0
1,two,no,48,0
1,two,no,48,2
1,two,no,48,2
1,two,no,48,0
1,two,no,48,3
1,two,no,48,0
1,two,no,48,0
1,two,no,48,2
1,two,no,48,2
1,two,no,48,2
1,two,no,48,3
1,two,no,48,5
1,two,no,48,3
1,two,no,48,1
1,two,no,48,2
1,two,no,48,2
1,two,no,48,4
1,two,no,48,2
1,two,no,48,4
1,two,no,48,2
1,two,no,48,4
1,two,no,48,3
1,two,no,48,3
1,two,no,48,5
1,two,no,48,4
1,two,no,48,0
1,two,no,48,2
1,two,no,48,0
1,two,no,48,0
1,two,no,48,0
1,two,no,48,2
1,two,no,48,3
1,two,no,48,1
1,two,no,48,4
1,two,no,48,0
1,two,no,48,4
1,two,no,48,3
1,two,no,48,4
1,two,no,48,4
1,two,no,48,0
1,two,no,48,0
1,two,no,48,0
1,two,no,48,2
1,two,no,48,2
1,two,no,48,0
1,two,no,48,0
1,two,no,48,4
1,two,no,48,0
1,two,no,48,4
1,two,no,48,3
1,two,no,48,4
1,two,no,48,3
1,two,no,48,3
1,two,no,48,2
1,two,no,48,2
1,two,no,48,2
1,two,no,48,2
1,two,no,48,2
1,two,no,48,2
1,two,no,48,2
1,two,no,48,2
1,two,no,48,1
1,two,no,48,0
1,two,no,48,0
1,two,no,48,3
1,two,no,48,3
1,two,no,48,4
1,two,no,48,2
1,two,no,48,2
1,two,no,49,3
1,two,no,49,1
1,two,no,49,3
1,two,no,49,3
1,two,no,49,3
1,two,no,49,2
1,two,no,49,2
1,two,no,49,1
1,two,no,49,4
1,two,no,49,3
1,two,no,49,0
1,two,no,49,2
1,two,no,49,1
1,two,no,49,2
1,two,no,49,2
1,two,no,49,4
1,two,no,49,0
1,two,no,49,2
1,two,no,49,1
1,two,no,49,3
1,two,no,49,4
1,two,no,49,3
1,two,no,49,4
1,two,no,49,2
1,two,no,49,0
1,two,no,49,5
1,two,no,49,4
1,two,no,49,4
1,two,no,49,2
1,two,no,49,0
1,two,no,49,2
1,two,no,49,4
1,two,no,49,2
1,two,no,49,2
1,two,no,49,3
1,two,no,49,2
1,two,no,49,2
1,two,no,49,4
1,two,no,49,1
1,two,no,49,2
1,two,no,49,2
1,two,no,49,3
1,two,no,49,3
1,two,no,49,5
1,two,no,49,4
1,two,no,49,2
1,two,no,49,0
1,two,no,49,3
1,two,no,49,4
1,two,no,49,2
1,two,no,49,3
1,two,no,49,2
1,two,no,49,2
1,two,no,49,2
1,two,no,49,3
1,two,no,49,3
1,two,no,49,0
1,two,no,49,2
1,two,no,49,4
1,two,no,49,1
1,two,no,49,3
1,two,no,49,4
1,two,no,49,1
1,two,no,49,1
1,two,no,49,3
1,two,no,49,2
1,two,no,49,1
1,two,no,49,2
1,two,no,49,2
1,two,no,49,5
1,two,no,49,4
1,two,no,49,1
1,two,no,49,3
1,two,no,49,4
1,two,no,49,3
1,two,no,49,4
1,two,no,49,0
1,two,no,49,4
1,two,no,49,3
1,two,no,49,4
1,two,no,49,4
1,two,no,49,2
1,two,no,49,4
1,two,no,49,3
1,two,no,49,4
1,two,no,49,2
1,two,no,49,2
1,two,no,49,0
1,two,no,49,5
1,two,no,49,3
1,two,no,49,2
1,two,no,49,3
1,two,no,49,3
1,two,no,49,4
1,two,no,49,4
1,two,no,49,2
1,two,no,49,2
1,two,no,49,3
1,two,no,49,1
1,two,no,49,4
1,two,no,50,4
1,two,no,50,3
1,two,no,50,5
1,two,no,50,3
1,two,no,50,5
1,two,no,50,3
1,two,no,50,4
1,two,no,50,0
1,two,no,50,2
1,two,no,50,2
1,two,no,50,3
1,two,no,50,3
1,two,no,50,2
1,two,no,50,0
1,two,no,50,2
1,two,no,50,5
1,two,no,50,3
1,two,no,50,3
1,two,no,50,1
1,two,no,50,4
1,two,no,50,3
1,two,no,50,2
1,two,no,50,3
1,two,no,50,3
1,two,no,50,4
1,two,no,50,2
1,two,no,50,2
1,two,no,50,6
1,two,no,50,2
1,two,no,50,2
1,two,no,50,2
1,two,no,50,2
1,two,no,50,4
1,two,no,50,3
1,two,no,50,0
1,two,no,50,0
1,two,no,50,0
1,two,no,50,2
1,two,no,50,0
1,two,no,50,4
1,two,no,50,3
1,two,no,50,1
1,two,no,50,5
1,two,no,50,3
1,two,no,50,5
1,two,no,50,1
1,two,no,50,2
1,two,no,50,2
1,two,no,50,1
1,two,no,50,3
1,two,no,50,2
1,two,no,50,2
1,two,no,50,5
1,two,no,50,1
1,two,no,50,1
1,two,no,50,2
1,two,no,50,4
1,two,no,50,3
1,two,no,50,4
1,two,no,50,0
1,two,no,50,3
1,two,no,50,0
1,two,no,50,1
1,two,no,50,5
1,two,no,50,2
1,two,no,50,3
1,two,no,50,1
1,two,no,50,4
1,two,no,50,3
1,two,no,50,3
1,two,no,50,0
1,two,no,50,3
1,two,no,50,2
1,two,no,50,3
1,two,no,50,3
1,two,no,50,2
1,two,no,50,0
1,two,no,50,1
1,two,no,50,2
1,two,no,50,2
1,two,no,50,1
1,two,no,50,0
1,two,no,50,4
1,two,no,50,3
1,two,no,50,2
1,two,no,50,0
1,two,no,50,0
1,two,no,50,3
1,two,no,50,5
1,two,no,50,6
1,two,no,50,3
1,two,no,50,2
1,two,no,50,0
1,two,no,50,0
1,two,no,50,4
1,two,no,50,2
1,two,no,50,6
1,two,no,50,2
1,two,no,50,2
1,two,no,50,1
1,two,no,3,4
1,two,no,3,3
1,two,no,3,3
1,two,no,3,3
1,two,no,3,4
1,two,no,3,5
1,two,no,3,5
1,two,no,3,3
1,two,no,3,5
1,two,no,3,0
1,two,no,3,0
1,two,no,3,1
1,two,no,3,3
1,two,no,3,3
1,two,no,3,2
1,two,no,3,0
1,two,no,3,2
1,two,no,3,2
1,two,no,3,3
1,two,no,3,4
1,two,no,3,3
1,two,no,3,2
1,two,no,3,3
1,two,no,3,2
1,two,no,3,0
1,two,no,3,1
1,two,no,3,0
1,two,no,3,3
1,two,no,3,3
1,two,no,3,1
1,two,no,3,4
1,two,no,3,2
1,two,no,3,3
1,two,no,3,0
1,two,no,3,3
1,two,no,3,1
1,two,no,3,2
1,two,no,3,1
1,two,no,3,3
1,two,no,3,2
1,two,no,3,0
1,two,no,3,4
1,two,no,3,2
1,two,no,3,3
1,two,no,3,2
1,two,no,3,2
1,two,no,3,0
1,two,no,3,4
1,two,no,3,7
1,two,no,3,2
1,two,no,3,3
1,two,no,3,0
1,two,no,3,3
1,two,no,3,2
1,two,no,3,4
1,two,no,3,3
1,two,no,3,2
1,two,no,3,7
1,two,no,3,5
1,two,no,3,5
1,two,no,3,2
1,two,no,3,1
1,two,no,3,2
1,two,no,3,3
1,two,no,3,0
1,two,no,3,2
1,two,no,3,2
1,two,no,3,6
1,two,no,3,2
1,two,no,3,2
1,two,no,3,2
1,two,no,3,5
1,two,no,3,2
1,two,no,3,3
1,two,no,3,5
1,two,no,3,3
1,two,no,3,2
1,two,no,3,4
1,two,no,3,4
1,two,no,3,0
1,two,no,3,0
1,two,no,3,4
1,two,no,3,3
1,two,no,3,3
1,two,no,3,5
1,two,no,3,2
1,two,no,3,6
1,two,no,3,2
1,two,no,3,2
1,two,no,3,6
1,two,no,3,6
1,two,no,3,2
1,two,no,3,0
1,two,no,3,0
1,two,no,3,4
1,two,no,3,2
1,two,no,3,2
1,two,no,3,4
1,two,no,3,1
1,two,no,3,3
1,two,no,4,3
1,two,no,4,3
1,two,no,4,2
1,two,no,4,5
1,two,no,4,2
1,two,no,4,5
1,two,no,4,3
1,two,no,4,3
1,two,no,4,2
1,two,no,4,2
1,two,no,4,2
1,two,no,4,3
1,two,no,4,3
1,two,no,4,1
1,two,no,4,2
1,two,no,4,5
1,two,no,4,6
1,two,no,4,2
1,two,no,4,1
1,two,no,4,1
1,two,no,4,2
1,two,no,4,2
1,two,no,4,2
1,two,no,4,0
1,two,no,4,4
1,two,no,4,1
1,two,no,4,1
1,two,no,4,2
1,two,no,4,4
1,two,no,4,3
1,two,no,4,3
1,two,no,4,2
1,two,no,4,2
1,two,no,4,5
1,two,no,4,4
1,two,no,4,0
1,two,no,4,2
1,two,no,4,5
1,two,no,4,3
1,two,no,4,3
1,two,no,4,3
1,two,no,4,2
1,two,no,4,3
1,two,no,4,2
1,two,no,4,5
1,two,no,4,2
1,two,no,4,4
1,two,no,4,4
1,two,no,4,3
1,two,no,4,0
1,two,no,4,3
1,two,no,4,3
1,two,no,4,1
1,two,no,4,4
1,two,no,4,3
1,two,no,4,2
1,two,no,4,2
1,two,no,4,4
1,two,no,4,2
1,two,no,4,2
1,two,no,4,3
1,two,no,4,4
1,two,no,4,6
1,two,no,4,4
1,two,no,4,4
1,two,no,4,2
1,two,no,4,3
1,two,no,4,1
1,two,no,4,2
1,two,no,4,5
1,two,no,4,4
1,two,no,4,2
1,two,no,4,3
1,two,no,4,0
1,two,no,4,3
1,two,no,4,4
1,two,no,4,1
1,two,no,4,3
1,two,no,4,7
1,two,no,4,5
1,two,no,4,3
1,two,no,4,3
1,two,no,4,3
1,two,no,4,2
1,two,no,4,4
1,two,no,4,3
1,two,no,4,3
1,two,no,4,7
1,two,no,4,4
1,two,no,4,2
1,two,no,4,4
1,two,no,4,3
1,two,no,4,6
1,two,no,4,4
1,two,no,4,2
